Nr. SISF,Rangstufe,Taxonname,Gattung,Spezies,Familie,Indigenat CH,Grenzgebiet,Ist Teil von: Taxonname,Ist Teil von: Nr. SISF
299300,sp,Phleum bertolonii DC.,Phleum,bertolonii,Poaceae,I,,Phleum pratense aggr.,300005
299600,sp,Phleum hirsutum Honck.,Phleum,hirsutum,Poaceae,I,,,
299800,sp,Phleum paniculatum Huds.,Phleum,paniculatum,Poaceae,I,,,
299900,sp,Phleum phleoides (L.) H. Karst.,Phleum,phleoides,Poaceae,I,,,
300000,sp,Phleum pratense L.,Phleum,pratense,Poaceae,I,,Phleum pratense aggr.,300005
300005,aggr,Phleum pratense aggr.,Phleum,pratense,Poaceae,I,,,
300200,sp,Phleum rhaeticum (Humphries) Rauschert,Phleum,rhaeticum,Poaceae,I,,Phleum alpinum aggr.,298900
300230,sp,Phleum subulatum (Savi) Asch. & Graebn.,Phleum,subulatum,Poaceae,N,,,
300260,sp,Phlox subulata L.,Phlox,subulata,Polemoniaceae,NC,,,
300300,sp,Phragmites australis (Cav.) Steud.,Phragmites,australis,Poaceae,I,,,
300450,sp,Phuopsis stylosa (Trin.) B. D. Jacks.,Phuopsis,stylosa,Rubiaceae,N,,,
300500,sp,Phyllitis scolopendrium (L.) Newman,Phyllitis,scolopendrium,Aspleniaceae,I,,,
300530,sp,Phyllostachys aurea Rivière & C. Rivière,Phyllostachys,aurea,Poaceae,NC,,,
300550,sp,Phyllostachys bambusoides Siebold & Zucc.,Phyllostachys,bambusoides,Poaceae,NC,,,
300570,sp,Phyllostachys nigra (Lindl.) Munro,Phyllostachys,nigra,Poaceae,NC,,,
300600,sp,Physalis alkekengi L.,Physalis,alkekengi,Solanaceae,AC,,,
300620,sp,Physalis peruviana L.,Physalis,peruviana,Solanaceae,N,,,
300650,sp,Physocarpus opulifolius (L.) Maxim.,Physocarpus,opulifolius,Rosaceae,N,,,
300700,sp,Physoplexis comosa (L.) Schur,Physoplexis,comosa,Campanulaceae,,x,,
300730,sp,Physospermum cornubiense (L.) DC.,Physospermum,cornubiense,Apiaceae,,x,,
300800,sp,Phyteuma betonicifolium Vill.,Phyteuma,betonicifolium,Campanulaceae,I,,,
301000,sp,Phyteuma globulariifolium Sternb. & Hoppe,Phyteuma,globulariifolium,Campanulaceae,I,,,
301100,subsp,Phyteuma globulariifolium Sternb. & Hoppe subsp. globulariifolium,Phyteuma,globulariifolium,Campanulaceae,I,,Phyteuma globulariifolium Sternb. & Hoppe,301000
301200,subsp,Phyteuma globulariifolium subsp. pedemontanum (Rich. Schulz) Bech.,Phyteuma,globulariifolium,Campanulaceae,I,,Phyteuma globulariifolium Sternb. & Hoppe,301000
301300,sp,Phyteuma hedraianthifolium Rich. Schulz,Phyteuma,hedraianthifolium,Campanulaceae,I,,,
301400,sp,Phyteuma hemisphaericum L.,Phyteuma,hemisphaericum,Campanulaceae,I,,,
301500,sp,Phyteuma humile Gaudin,Phyteuma,humile,Campanulaceae,I,,,
301600,sp,Phyteuma michelii All.,Phyteuma,michelii,Campanulaceae,,x,,
301700,sp,Phyteuma nigrum F. W. Schmidt,Phyteuma,nigrum,Campanulaceae,,x,,
301800,sp,Phyteuma orbiculare L.,Phyteuma,orbiculare,Campanulaceae,I,,,
301830,subsp,Phyteuma orbiculare L. subsp. orbiculare,Phyteuma,orbiculare,Campanulaceae,I,,Phyteuma orbiculare L.,301800
301860,subsp,Phyteuma orbiculare subsp. tenerum (R. Schulz) P. Fourn.,Phyteuma,orbiculare,Campanulaceae,,x,Phyteuma orbiculare L.,301800
301900,sp,Phyteuma ovatum Honck.,Phyteuma,ovatum,Campanulaceae,I,,,
302000,sp,Phyteuma scheuchzeri All.,Phyteuma,scheuchzeri,Campanulaceae,I,,,
302050,subsp,Phyteuma scheuchzeri All. subsp. scheuchzeri,Phyteuma,scheuchzeri,Campanulaceae,I,,Phyteuma scheuchzeri All.,302000
302100,subsp,Phyteuma scheuchzeri subsp. columnae (Gaudin) Bech.,Phyteuma,scheuchzeri,Campanulaceae,I,,Phyteuma scheuchzeri All.,302000
302200,sp,Phyteuma scorzonerifolium Vill.,Phyteuma,scorzonerifolium,Campanulaceae,I,,,
302400,sp,Phyteuma spicatum L.,Phyteuma,spicatum,Campanulaceae,I,,,
302450,subsp,Phyteuma spicatum L. subsp. spicatum,Phyteuma,spicatum,Campanulaceae,I,,Phyteuma spicatum L.,302400
302500,subsp,Phyteuma spicatum subsp. coeruleum Rich. Schulz,Phyteuma,spicatum,Campanulaceae,I,,Phyteuma spicatum L.,302400
302550,sp,Phytolacca acinosa Roxb.,Phytolacca,acinosa,Phytolaccaceae,N,,,
302600,sp,Phytolacca americana L.,Phytolacca,americana,Phytolaccaceae,N,,,
302800,sp,Picea abies (L.) H. Karst.,Picea,abies,Pinaceae,I,,,
303000,sp,Picris echioides L.,Picris,echioides,Asteraceae,N,,,
303100,sp,Picris hieracioides L.,Picris,hieracioides,Asteraceae,I,,,
303130,subsp,Picris hieracioides L. subsp. hieracioides,Picris,hieracioides,Asteraceae,I,,Picris hieracioides L.,303100
303160,subsp,Picris hieracioides subsp. umbellata (Schrank) Ces.,Picris,hieracioides,Asteraceae,I,,Picris hieracioides L.,303100
303600,sp,Pilularia globulifera L.,Pilularia,globulifera,Marsileaceae,I,,,
303700,sp,Pimpinella alpina Host,Pimpinella,alpina,Apiaceae,I,,Pimpinella saxifraga aggr.,304100
