Nr. SISF,Rangstufe,Taxonname,Gattung,Spezies,Familie,Indigenat CH,Grenzgebiet,Ist Teil von: Taxonname,Ist Teil von: Nr. SISF
100,sp,Abies alba Mill.,Abies,alba,Pinaceae,I,,,
130,sp,Abies nordmanniana (Steven) Spach,Abies,nordmanniana,Pinaceae,NC,,,
150,sp,Abutilon theophrasti Medik.,Abutilon,theophrasti,Malvaceae,N,,,
160,sp,Acacia dealbata Link,Acacia,dealbata,Fabaceae,N,,,
180,sp,Acalypha australis L.,Acalypha,australis,Euphorbiaceae,N,,,
200,sp,Acalypha virginica L.,Acalypha,virginica,Euphorbiaceae,N,,,
250,sp,Acanthus mollis L.,Acanthus,mollis,Acanthaceae,NC,,,
300,sp,Acer campestre L.,Acer,campestre,Sapindaceae,I,,,
400,sp,Acer monspessulanum L.,Acer,monspessulanum,Sapindaceae,NC,,,
500,sp,Acer negundo L.,Acer,negundo,Sapindaceae,N,,,
600,sp,Acer opalus Mill.,Acer,opalus,Sapindaceae,I,,,
700,sp,Acer platanoides L.,Acer,platanoides,Sapindaceae,I,,,
800,sp,Acer pseudoplatanus L.,Acer,pseudoplatanus,Sapindaceae,I,,,
850,sp,Acer saccharinum L.,Acer,saccharinum,Sapindaceae,N,,,
900,sp,Aceras anthropophorum (L.) W. T. Aiton,Aceras,anthropophorum,Orchidaceae,I,,,
950,sp,Achillea ageratum L.,Achillea,ageratum,Asteraceae,N,,,
1000,sp,Achillea atrata L.,Achillea,atrata,Asteraceae,I,,,
1100,sp,Achillea clavenae L.,Achillea,clavenae,Asteraceae,I,,,
1200,sp,Achillea collina Rchb.,Achillea,collina,Asteraceae,I,,Achillea millefolium aggr.,1706
1250,sp,Achillea crithmifolia Waldst. & Kit.,Achillea,crithmifolia,Asteraceae,N,,,
1300,sp,Achillea distans Willd.,Achillea,distans,Asteraceae,,x,Achillea millefolium aggr.,1706
1350,sp,Achillea erba-rotta All.,Achillea,erba-rotta,Asteraceae,I,,,
1400,subsp,Achillea erba-rotta All. subsp. erba-rotta,Achillea,erba-rotta,Asteraceae,,x,Achillea erba-rotta All.,1350
1500,subsp,Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,Achillea,erba-rotta,Asteraceae,I,,Achillea erba-rotta All.,1350
1550,sp,Achillea filipendulina Lam.,Achillea,filipendulina,Asteraceae,N,,,
1600,sp,Achillea macrophylla L.,Achillea,macrophylla,Asteraceae,I,,,
1700,sp,Achillea millefolium L.,Achillea,millefolium,Asteraceae,I,,Achillea millefolium aggr.,1706
1701,subsp,Achillea millefolium L. subsp. millefolium,Achillea,millefolium,Asteraceae,I,,Achillea millefolium L.,1700
1702,subsp,Achillea millefolium subsp. sudetica (Opiz) J. Weiss,Achillea,millefolium,Asteraceae,I,,Achillea millefolium L.,1700
1706,aggr,Achillea millefolium aggr.,Achillea,millefolium,Asteraceae,I,,,
1900,sp,Achillea nana L.,Achillea,nana,Asteraceae,I,,,
2000,sp,Achillea nobilis L.,Achillea,nobilis,Asteraceae,I,,,
2050,subsp (single),Achillea nobilis L. subsp. nobilis,Achillea,nobilis,Asteraceae,I,,Achillea nobilis L.,2000
2100,sp,Achillea oxyloba (DC.) Sch. Bip.,Achillea,oxyloba,Asteraceae,,x,,
2150,sp,Achillea pratensis Saukel & R. Länger,Achillea,pratensis,Asteraceae,I,,Achillea millefolium aggr.,1706
2200,sp,Achillea ptarmica L.,Achillea,ptarmica,Asteraceae,I,,,
2300,sp,Achillea roseoalba Ehrend.,Achillea,roseoalba,Asteraceae,I,,Achillea millefolium aggr.,1706
2400,sp,Achillea setacea Waldst. & Kit.,Achillea,setacea,Asteraceae,I,,Achillea millefolium aggr.,1706
2500,sp,Achillea stricta Gremli,Achillea,stricta,Asteraceae,I,,Achillea millefolium aggr.,1706
2600,sp,Achillea tomentosa L.,Achillea,tomentosa,Asteraceae,I,,,
2700,sp,Achnatherum calamagrostis (L.) P. Beauv.,Achnatherum,calamagrostis,Poaceae,I,,,
2800,sp,Acinos alpinus (L.) Moench,Acinos,alpinus,Lamiaceae,I,,,
2900,sp,Acinos arvensis (Lam.) Dandy,Acinos,arvensis,Lamiaceae,I,,,
3100,sp,Aconitum anthora L.,Aconitum,anthora,Ranunculaceae,I,,,
3510,sp,Aconitum lycoctonum L.,Aconitum,lycoctonum,Ranunculaceae,I,,,
3520,subsp,Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman,Aconitum,lycoctonum,Ranunculaceae,I,,Aconitum lycoctonum L.,3510
3530,subsp,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,Aconitum,lycoctonum,Ranunculaceae,I,,Aconitum lycoctonum L.,3510
3540,sp,Aconitum napellus L.,Aconitum,napellus,Ranunculaceae,I,,,
3560,subsp,Aconitum napellus subsp. lusitanicum Rouy,Aconitum,napellus,Ranunculaceae,I,,Aconitum napellus L.,3540
3570,subsp,Aconitum napellus subsp. tauricum (Wulfen) Gáyer,Aconitum,napellus,Ranunculaceae,I,,Aconitum napellus L.,3540
3580,subsp,Aconitum napellus subsp. vulgare Rouy & Foucaud,Aconitum,napellus,Ranunculaceae,I,,Aconitum napellus L.,3540
4390,sp,Aconitum variegatum L.,Aconitum,variegatum,Ranunculaceae,I,,,
4400,subsp,Aconitum variegatum L. subsp. variegatum,Aconitum,variegatum,Ranunculaceae,I,,Aconitum variegatum L.,4390
4600,subsp,Aconitum variegatum subsp. paniculatum (Arcang.) Negodi,Aconitum,variegatum,Ranunculaceae,I,,Aconitum variegatum L.,4390
4700,subsp,Aconitum variegatum subsp. rostratum (DC.) Gáyer,Aconitum,variegatum,Ranunculaceae,I,,Aconitum variegatum L.,4390
4800,subsp,Aconitum variegatum subsp. valesiacum (Gáyer) Greuter & Burdet,Aconitum,variegatum,Ranunculaceae,I,,Aconitum variegatum L.,4390
5100,sp,Acorus calamus L.,Acorus,calamus,Acoraceae,N,,,
5200,sp,Actaea spicata L.,Actaea,spicata,Ranunculaceae,I,,,
5250,sp,Actinidia chinensis Planch.,Actinidia,chinensis,Actinidiaceae,N,,,
5300,sp,Adenophora liliifolia (L.) A. DC.,Adenophora,liliifolia,Campanulaceae,I,,,
5400,sp,Adenostyles alliariae (Gouan) A. Kern.,Adenostyles,alliariae,Asteraceae,I,,,
5450,sp,Adenostyles alpina (L.) Bluff & Fingerh.,Adenostyles,alpina,Asteraceae,I,,,
5600,sp,Adenostyles leucophylla (Willd.) Rchb.,Adenostyles,leucophylla,Asteraceae,I,,,
5700,sp,Adiantum capillus-veneris L.,Adiantum,capillus-veneris,Pteridaceae,I,,,
5800,sp,Adonis aestivalis L.,Adonis,aestivalis,Ranunculaceae,A,,,
5900,sp,Adonis annua L.,Adonis,annua,Ranunculaceae,N,,,
6100,sp,Adonis flammea Jacq.,Adonis,flammea,Ranunculaceae,A,,,
6200,sp,Adonis vernalis L.,Adonis,vernalis,Ranunculaceae,I,,,
6300,sp,Adoxa moschatellina L.,Adoxa,moschatellina,Adoxaceae,I,,,
6400,sp,Aegilops cylindrica Host,Aegilops,cylindrica,Poaceae,N,,,
6430,sp,Aegilops geniculata Roth,Aegilops,geniculata,Poaceae,N,,Aegilops geniculata aggr.,6440
6440,aggr,Aegilops geniculata aggr.,Aegilops,geniculata,Poaceae,N,,,
6460,sp,Aegilops neglecta Bertol.,Aegilops,neglecta,Poaceae,N,,Aegilops geniculata aggr.,6440
6600,sp,Aegilops triuncialis L.,Aegilops,triuncialis,Poaceae,N,,,
6700,sp,Aegilops ventricosa Tausch,Aegilops,ventricosa,Poaceae,N,,,
6800,sp,Aegopodium podagraria L.,Aegopodium,podagraria,Apiaceae,I,,,
6900,sp,Aesculus hippocastanum L.,Aesculus,hippocastanum,Sapindaceae,N,,,
7000,sp,Aethionema saxatile (L.) R. Br.,Aethionema,saxatile,Brassicaceae,I,,,
7050,subsp (single),Aethionema saxatile (L.) R. Br. subsp. saxatile,Aethionema,saxatile,Brassicaceae,I,,Aethionema saxatile (L.) R. Br.,7000
7100,sp,Aethionema thomasianum J. Gay,Aethionema,thomasianum,Brassicaceae,,x,,
7150,sp,Aethusa cynapioides M. Bieb.,Aethusa,cynapioides,Apiaceae,I,,,
7200,sp,Aethusa cynapium L.,Aethusa,cynapium,Apiaceae,I,,,
7300,sp,Agave americana L.,Agave,americana,Asparagaceae,N,,,
7400,sp,Agrimonia eupatoria L.,Agrimonia,eupatoria,Rosaceae,I,,,
7600,sp,Agrimonia procera Wallr.,Agrimonia,procera,Rosaceae,I,,,
7720,sp,Agropyron cristatum (L.) Gaertn.,Agropyron,cristatum,Poaceae,N,,,
7750,subsp,Agropyron cristatum (L.) Gaertn. subsp. cristatum,Agropyron,cristatum,Poaceae,,x,Agropyron cristatum (L.) Gaertn.,7720
7770,subsp,Agropyron cristatum subsp. pectinatum (M. Bieb.) Tzvelev,Agropyron,cristatum,Poaceae,N,,Agropyron cristatum (L.) Gaertn.,7720
8200,sp,Agrostemma githago L.,Agrostemma,githago,Caryophyllaceae,A,,,
8400,sp,Agrostis alpina Scop.,Agrostis,alpina,Poaceae,I,,,
8500,sp,Agrostis canina L.,Agrostis,canina,Poaceae,I,,,
8600,sp,Agrostis capillaris L.,Agrostis,capillaris,Poaceae,I,,,
8700,sp,Agrostis gigantea Roth,Agrostis,gigantea,Poaceae,I,,,
8900,sp,Agrostis rupestris All.,Agrostis,rupestris,Poaceae,I,,,
9000,sp,Agrostis schleicheri Jord. & Verl.,Agrostis,schleicheri,Poaceae,I,,,
9100,sp,Agrostis schraderiana Bech.,Agrostis,schraderiana,Poaceae,I,,,
9300,sp,Agrostis stolonifera L.,Agrostis,stolonifera,Poaceae,I,,,
9450,sp,Agrostis vinealis Schreb.,Agrostis,vinealis,Poaceae,I,,,
9500,sp,Ailanthus altissima (Mill.) Swingle,Ailanthus,altissima,Simaroubaceae,N,,,
9700,sp,Aira caryophyllea L.,Aira,caryophyllea,Poaceae,I,,,
9730,subsp,Aira caryophyllea L. subsp. caryophyllea,Aira,caryophyllea,Poaceae,I,,Aira caryophyllea L.,9700
9760,subsp,Aira caryophyllea subsp. plesiantha (Boreau) K. Richt.,Aira,caryophyllea,Poaceae,I,,Aira caryophyllea L.,9700
9900,sp,Aira elegantissima Schur,Aira,elegantissima,Poaceae,I,,,
10000,sp,Aira praecox L.,Aira,praecox,Poaceae,I,,,
10100,sp,Ajuga chamaepitys (L.) Schreb.,Ajuga,chamaepitys,Lamiaceae,I,,,
10200,sp,Ajuga genevensis L.,Ajuga,genevensis,Lamiaceae,I,,,
10300,sp,Ajuga pyramidalis L.,Ajuga,pyramidalis,Lamiaceae,I,,,
10400,sp,Ajuga reptans L.,Ajuga,reptans,Lamiaceae,I,,,
10450,sp,Akebia quinata (Houtt.) Decne.,Akebia,quinata,Lardizabalaceae,N,,,
10470,sp,Albizia julibrissin Durazz.,Albizia,julibrissin,Fabaceae,N,,,
10490,sp,Alcea biennis Winterl,Alcea,biennis,Malvaceae,N,,,
10500,sp,Alcea rosea L.,Alcea,rosea,Malvaceae,N,,,
10600,sp,Alchemilla acuminatidens Buser,Alchemilla,acuminatidens,Rosaceae,I,,Alchemilla glabra aggr.,15000
10790,sp,Alchemilla acutiloba Opiz,Alchemilla,acutiloba,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
10900,sp,Alchemilla aggregata Buser,Alchemilla,aggregata,Rosaceae,I,,Alchemilla coriacea aggr.,12500
10950,sp,Alchemilla alpigena Hegi,Alchemilla,alpigena,Rosaceae,I,,Alchemilla plicatula aggr.,18500
10990,sp,Alchemilla alpina L.,Alchemilla,alpina,Rosaceae,I,,Alchemilla alpina aggr.,11200
11200,aggr,Alchemilla alpina aggr.,Alchemilla,alpina,Rosaceae,I,,,
11300,sp,Alchemilla amphisericea Buser,Alchemilla,amphisericea,Rosaceae,I,,Alchemilla plicatula aggr.,18500
11450,sp,Alchemilla argentidens Buser,Alchemilla,argentidens,Rosaceae,I,,Alchemilla alpina aggr.,11200
11600,sp,Alchemilla atrovirens Buser,Alchemilla,atrovirens,Rosaceae,I,,Alchemilla conjuncta aggr.,12000
11690,sp,Alchemilla chirophylla Buser,Alchemilla,chirophylla,Rosaceae,I,,Alchemilla plicatula aggr.,18500
11800,sp,Alchemilla colorata Buser,Alchemilla,colorata,Rosaceae,I,,Alchemilla hybrida aggr.,16000
11850,sp,Alchemilla compta Buser,Alchemilla,compta,Rosaceae,I,,Alchemilla heteropoda aggr.,15800
11900,sp,Alchemilla conjuncta Bab.,Alchemilla,conjuncta,Rosaceae,I,,Alchemilla conjuncta aggr.,12000
12000,aggr,Alchemilla conjuncta aggr.,Alchemilla,conjuncta,Rosaceae,I,,,
12190,sp,Alchemilla connivens Buser,Alchemilla,connivens,Rosaceae,I,,Alchemilla glabra aggr.,15000
12300,sp,Alchemilla controversa Buser,Alchemilla,controversa,Rosaceae,I,,Alchemilla glabra aggr.,15000
12400,sp,Alchemilla coriacea Buser,Alchemilla,coriacea,Rosaceae,I,,Alchemilla coriacea aggr.,12500
12500,aggr,Alchemilla coriacea aggr.,Alchemilla,coriacea,Rosaceae,I,,,
12700,sp,Alchemilla crinita Buser,Alchemilla,crinita,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
12900,sp,Alchemilla curtiloba Buser,Alchemilla,curtiloba,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
12990,sp,Alchemilla decumbens Buser,Alchemilla,decumbens,Rosaceae,I,,Alchemilla decumbens aggr.,13100
13100,aggr,Alchemilla decumbens aggr.,Alchemilla,decumbens,Rosaceae,I,,,
13200,sp,Alchemilla demissa Buser,Alchemilla,demissa,Rosaceae,I,,Alchemilla demissa aggr.,13300
13300,aggr,Alchemilla demissa aggr.,Alchemilla,demissa,Rosaceae,I,,,
13400,sp,Alchemilla effusa Buser,Alchemilla,effusa,Rosaceae,I,,Alchemilla glabra aggr.,15000
13500,sp,Alchemilla exigua Buser,Alchemilla,exigua,Rosaceae,I,,Alchemilla hybrida aggr.,16000
13600,sp,Alchemilla fallax Buser,Alchemilla,fallax,Rosaceae,I,,Alchemilla fissa aggr.,14000
13690,sp,Alchemilla filicaulis Buser,Alchemilla,filicaulis,Rosaceae,I,,Alchemilla hybrida aggr.,16000
13750,sp,Alchemilla firma Buser,Alchemilla,firma,Rosaceae,I,,Alchemilla fissa aggr.,14000
13890,sp,Alchemilla fissa Günther & Schummel,Alchemilla,fissa,Rosaceae,I,,Alchemilla fissa aggr.,14000
14000,aggr,Alchemilla fissa aggr.,Alchemilla,fissa,Rosaceae,I,,,
14100,sp,Alchemilla fissimima Buser,Alchemilla,fissimima,Rosaceae,I,,Alchemilla demissa aggr.,13300
14200,sp,Alchemilla flabellata Buser,Alchemilla,flabellata,Rosaceae,I,,Alchemilla hybrida aggr.,16000
14300,sp,Alchemilla flavicoma Buser,Alchemilla,flavicoma,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
14400,sp,Alchemilla flavovirens Buser,Alchemilla,flavovirens,Rosaceae,I,,Alchemilla conjuncta aggr.,12000
14500,sp,Alchemilla flexicaulis Buser,Alchemilla,flexicaulis,Rosaceae,I,,Alchemilla fissa aggr.,14000
14700,sp,Alchemilla frigens Buser,Alchemilla,frigens,Rosaceae,I,,Alchemilla glabra aggr.,15000
14800,sp,Alchemilla gaillardiana Buser,Alchemilla,gaillardiana,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
14830,sp,Alchemilla galkinae S. E. Fröhner,Alchemilla,galkinae,Rosaceae,I,,Alchemilla fissa aggr.,14000
14860,sp,Alchemilla gemmia Buser,Alchemilla,gemmia,Rosaceae,I,,Alchemilla pentaphylloides aggr.,18150
14890,sp,Alchemilla gingolphiana S. E. Fröhner,Alchemilla,gingolphiana,Rosaceae,I,,Alchemilla splendens aggr.,19900
14895,sp,Alchemilla glabra Neygenf.,Alchemilla,glabra,Rosaceae,I,,Alchemilla glabra aggr.,15000
15000,aggr,Alchemilla glabra aggr.,Alchemilla,glabra,Rosaceae,I,,,
15100,sp,Alchemilla glacialis Buser,Alchemilla,glacialis,Rosaceae,I,,Alchemilla grossidens aggr.,15400
15150,sp,Alchemilla glaucescens Wallr.,Alchemilla,glaucescens,Rosaceae,I,,Alchemilla hybrida aggr.,16000
15200,sp,Alchemilla glomerulans Buser,Alchemilla,glomerulans,Rosaceae,I,,Alchemilla glabra aggr.,15000
15290,sp,Alchemilla grossidens Buser,Alchemilla,grossidens,Rosaceae,I,,Alchemilla grossidens aggr.,15400
15400,aggr,Alchemilla grossidens aggr.,Alchemilla,grossidens,Rosaceae,I,,,
15500,sp,Alchemilla helvetica Brügger,Alchemilla,helvetica,Rosaceae,I,,Alchemilla helvetica aggr.,15600
15600,aggr,Alchemilla helvetica aggr.,Alchemilla,helvetica,Rosaceae,I,,,
15690,sp,Alchemilla heteropoda Buser,Alchemilla,heteropoda,Rosaceae,I,,Alchemilla heteropoda aggr.,15800
15800,aggr,Alchemilla heteropoda aggr.,Alchemilla,heteropoda,Rosaceae,I,,,
15900,sp,Alchemilla hirtipes Buser,Alchemilla,hirtipes,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
15950,sp,Alchemilla hoppeana (Rchb.) Dalla Torre,Alchemilla,hoppeana,Rosaceae,I,,Alchemilla plicatula aggr.,18500
15980,sp,Alchemilla hybrida (L.) L.,Alchemilla,hybrida,Rosaceae,I,,Alchemilla hybrida aggr.,16000
16000,aggr,Alchemilla hybrida aggr.,Alchemilla,hybrida,Rosaceae,I,,,
16200,sp,Alchemilla impexa Buser,Alchemilla,impexa,Rosaceae,I,,Alchemilla glabra aggr.,15000
16300,sp,Alchemilla incisa Buser,Alchemilla,incisa,Rosaceae,I,,Alchemilla fissa aggr.,14000
16400,sp,Alchemilla inconcinna Buser,Alchemilla,inconcinna,Rosaceae,I,,Alchemilla heteropoda aggr.,15800
16450,sp,Alchemilla infravallesia (Buser) Rothm.,Alchemilla,infravallesia,Rosaceae,I,,Alchemilla splendens aggr.,19900
16500,sp,Alchemilla jaquetiana Buser,Alchemilla,jaquetiana,Rosaceae,I,,Alchemilla splendens aggr.,19900
16550,sp,Alchemilla jugensis (Buser) Maill.,Alchemilla,jugensis,Rosaceae,I,,Alchemilla grossidens aggr.,15400
16600,sp,Alchemilla leptoclada Buser,Alchemilla,leptoclada,Rosaceae,I,,Alchemilla conjuncta aggr.,12000
16700,sp,Alchemilla lineata Buser,Alchemilla,lineata,Rosaceae,I,,Alchemilla glabra aggr.,15000
16800,sp,Alchemilla longana Buser,Alchemilla,longana,Rosaceae,I,,Alchemilla glabra aggr.,15000
16850,sp,Alchemilla longinodis (Buser) Maill.,Alchemilla,longinodis,Rosaceae,I,,Alchemilla grossidens aggr.,15400
16900,sp,Alchemilla longiuscula Buser,Alchemilla,longiuscula,Rosaceae,I,,Alchemilla demissa aggr.,13300
16930,sp,Alchemilla lunaria S. E. Fröhner,Alchemilla,lunaria,Rosaceae,I,,Alchemilla heteropoda aggr.,15800
16960,sp,Alchemilla micans Buser,Alchemilla,micans,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
17200,sp,Alchemilla mollis (Buser) Rothm.,Alchemilla,mollis,Rosaceae,N,,,
17300,sp,Alchemilla monticola Opiz,Alchemilla,monticola,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
17400,sp,Alchemilla multidens Buser,Alchemilla,multidens,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
17500,sp,Alchemilla nitida Buser,Alchemilla,nitida,Rosaceae,I,,Alchemilla plicatula aggr.,18500
17600,sp,Alchemilla obscura Buser,Alchemilla,obscura,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
17700,sp,Alchemilla obtusa Buser,Alchemilla,obtusa,Rosaceae,I,,Alchemilla glabra aggr.,15000
17800,sp,Alchemilla opaca Buser,Alchemilla,opaca,Rosaceae,I,,Alchemilla alpina aggr.,11200
17850,sp,Alchemilla oscensis S. E. Fröhner,Alchemilla,oscensis,Rosaceae,I,,Alchemilla hybrida aggr.,16000
17900,sp,Alchemilla othmarii Buser,Alchemilla,othmarii,Rosaceae,I,,Alchemilla fissa aggr.,14000
17950,sp,Alchemilla paicheana (Buser) Rothm.,Alchemilla,paicheana,Rosaceae,I,,Alchemilla splendens aggr.,19900
17990,sp,Alchemilla pallens Buser,Alchemilla,pallens,Rosaceae,I,,Alchemilla grossidens aggr.,15400
18100,sp,Alchemilla pentaphyllea L.,Alchemilla,pentaphyllea,Rosaceae,I,,,
18130,sp,Alchemilla pentaphylloides Buser,Alchemilla,pentaphylloides,Rosaceae,I,,Alchemilla pentaphylloides aggr.,18150
18150,aggr,Alchemilla pentaphylloides aggr.,Alchemilla,pentaphylloides,Rosaceae,I,,,
18200,sp,Alchemilla petiolulans Buser,Alchemilla,petiolulans,Rosaceae,I,,Alchemilla plicatula aggr.,18500
18300,sp,Alchemilla plicata Buser,Alchemilla,plicata,Rosaceae,I,,Alchemilla hybrida aggr.,16000
18500,aggr,Alchemilla plicatula aggr.,Alchemilla,plicatula,Rosaceae,I,,,
18530,sp,Alchemilla propinqua Juz.,Alchemilla,propinqua,Rosaceae,,x,Alchemilla vulgaris aggr.,21100
18560,sp,Alchemilla pseudodecumbens Hügin & S. E. Fröhner,Alchemilla,pseudodecumbens,Rosaceae,I,,Alchemilla decumbens aggr.,13100
18590,sp,Alchemilla psilopodia Hügin & S. E. Fröhner,Alchemilla,psilopodia,Rosaceae,I,,Alchemilla hybrida aggr.,16000
18700,sp,Alchemilla racemulosa Buser,Alchemilla,racemulosa,Rosaceae,I,,Alchemilla glabra aggr.,15000
18750,sp,Alchemilla radiisecta Buser,Alchemilla,radiisecta,Rosaceae,I,,Alchemilla helvetica aggr.,15600
18800,sp,Alchemilla reniformis Buser,Alchemilla,reniformis,Rosaceae,I,,Alchemilla glabra aggr.,15000
18900,sp,Alchemilla rhododendrophila Buser,Alchemilla,rhododendrophila,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
18950,sp,Alchemilla rubristipula Buser,Alchemilla,rubristipula,Rosaceae,I,,Alchemilla heteropoda aggr.,15800
19000,sp,Alchemilla saxatilis Buser,Alchemilla,saxatilis,Rosaceae,I,,Alchemilla alpina aggr.,11200
19100,sp,Alchemilla saxetana Buser,Alchemilla,saxetana,Rosaceae,I,,Alchemilla alpina aggr.,11200
19200,sp,Alchemilla schmidelyana Buser,Alchemilla,schmidelyana,Rosaceae,I,,Alchemilla splendens aggr.,19900
19350,sp,Alchemilla semihirta Buser,Alchemilla,semihirta,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
19400,sp,Alchemilla semisecta Buser,Alchemilla,semisecta,Rosaceae,I,,Alchemilla demissa aggr.,13300
19490,sp,Alchemilla sericoneura Buser,Alchemilla,sericoneura,Rosaceae,I,,Alchemilla fissa aggr.,14000
19600,sp,Alchemilla sinuata Buser,Alchemilla,sinuata,Rosaceae,I,,Alchemilla coriacea aggr.,12500
19700,sp,Alchemilla speciosa Buser,Alchemilla,speciosa,Rosaceae,N,,,
19790,sp,Alchemilla splendens Christ,Alchemilla,splendens,Rosaceae,I,,Alchemilla splendens aggr.,19900
19850,sp,Alchemilla squarrosula Buser,Alchemilla,squarrosula,Rosaceae,I,,Alchemilla glabra aggr.,15000
19900,aggr,Alchemilla splendens aggr.,Alchemilla,splendens,Rosaceae,I,,,
20000,sp,Alchemilla straminea Buser,Alchemilla,straminea,Rosaceae,I,,Alchemilla coriacea aggr.,12500
20100,sp,Alchemilla strigosula Buser,Alchemilla,strigosula,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
20200,sp,Alchemilla subcrenata Buser,Alchemilla,subcrenata,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
20250,sp,Alchemilla subglobosa C. G. Westerl.,Alchemilla,subglobosa,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
20300,sp,Alchemilla subsericea Reut.,Alchemilla,subsericea,Rosaceae,I,,Alchemilla subsericea aggr.,20400
20400,aggr,Alchemilla subsericea aggr.,Alchemilla,subsericea,Rosaceae,I,,,
20490,sp,Alchemilla tenuis Buser,Alchemilla,tenuis,Rosaceae,I,,Alchemilla heteropoda aggr.,15800
20530,sp,Alchemilla tirolensis Dalla Torre & Sarnth.,Alchemilla,tirolensis,Rosaceae,I,,Alchemilla heteropoda aggr.,15800
20550,sp,Alchemilla transiens (Buser) Buser,Alchemilla,transiens,Rosaceae,I,,Alchemilla alpina aggr.,11200
20580,sp,Alchemilla trullata Buser,Alchemilla,trullata,Rosaceae,I,,Alchemilla pentaphylloides aggr.,18150
20600,sp,Alchemilla trunciloba Buser,Alchemilla,trunciloba,Rosaceae,I,,Alchemilla coriacea aggr.,12500
20700,sp,Alchemilla undulata Buser,Alchemilla,undulata,Rosaceae,I,,Alchemilla decumbens aggr.,13100
20800,sp,Alchemilla venosula Buser,Alchemilla,venosula,Rosaceae,,x,Alchemilla coriacea aggr.,12500
20900,sp,Alchemilla versipila Buser,Alchemilla,versipila,Rosaceae,I,,Alchemilla glabra aggr.,15000
21000,sp,Alchemilla vetteri Buser,Alchemilla,vetteri,Rosaceae,,x,Alchemilla hybrida aggr.,16000
21100,aggr,Alchemilla vulgaris aggr.,Alchemilla,vulgaris,Rosaceae,I,,,
21230,sp,Alchemilla weberi S. E. Fröhner,Alchemilla,weberi,Rosaceae,I,,Alchemilla coriacea aggr.,12500
21260,sp,Alchemilla westermaieri Jaquet,Alchemilla,westermaieri,Rosaceae,I,,Alchemilla heteropoda aggr.,15800
21300,sp,Alchemilla xanthochlora Rothm.,Alchemilla,xanthochlora,Rosaceae,I,,Alchemilla vulgaris aggr.,21100
21600,sp,Aldrovanda vesiculosa L.,Aldrovanda,vesiculosa,Droseraceae,I,,,
21700,sp,Alisma gramineum Lej.,Alisma,gramineum,Alismataceae,I,,,
21800,sp,Alisma lanceolatum With.,Alisma,lanceolatum,Alismataceae,I,,,
21900,sp,Alisma plantago-aquatica L.,Alisma,plantago-aquatica,Alismataceae,I,,,
22100,sp,Alliaria petiolata (M. Bieb.) Cavara & Grande,Alliaria,petiolata,Brassicaceae,I,,,
22150,sp,Allium ampeloprasum L.,Allium,ampeloprasum,Amaryllidaceae,,x,,
22200,sp,Allium angulosum L.,Allium,angulosum,Amaryllidaceae,I,,,
22350,sp,Allium carinatum L.,Allium,carinatum,Amaryllidaceae,I,,,
22400,subsp,Allium carinatum L. subsp. carinatum,Allium,carinatum,Amaryllidaceae,I,,Allium carinatum L.,22350
22500,subsp,Allium carinatum subsp. pulchellum Bonnier & Layens,Allium,carinatum,Amaryllidaceae,I,,Allium carinatum L.,22350
22600,sp,Allium cepa L.,Allium,cepa,Amaryllidaceae,AC,,,
22700,sp,Allium ericetorum Thore,Allium,ericetorum,Amaryllidaceae,,x,,
22800,sp,Allium fistulosum L.,Allium,fistulosum,Amaryllidaceae,N,,,
22900,sp,Allium insubricum Boiss. & Reut.,Allium,insubricum,Amaryllidaceae,,x,,
23000,sp,Allium lineare L.,Allium,lineare,Amaryllidaceae,I,,,
23100,sp,Allium lusitanicum Lam.,Allium,lusitanicum,Amaryllidaceae,I,,,
23300,sp,Allium narcissiflorum Vill.,Allium,narcissiflorum,Amaryllidaceae,,x,,
23400,sp,Allium nigrum L.,Allium,nigrum,Amaryllidaceae,N,,,
23600,sp,Allium oleraceum L.,Allium,oleraceum,Amaryllidaceae,I,,,
23750,sp,Allium paradoxum (M. Bieb.) G. Don,Allium,paradoxum,Amaryllidaceae,N,,,
23800,sp,Allium porrum L.,Allium,porrum,Amaryllidaceae,AC,,,
24000,sp,Allium rotundum L.,Allium,rotundum,Amaryllidaceae,I,,,
24100,sp,Allium sativum L.,Allium,sativum,Amaryllidaceae,N,,,
