sediment	water_depth	UTM.32T.E	UTM.32T.N	long	lat	site
BS19.01	187	538336	5268402	9.509677551	47.56790206	S09
BS19.08	151	539199	5264303	9.520785177	47.53096965	S07
BS19.13	150	542750	5266009	9.568126116	47.54609541	S06
BS19.17	100	546137	5267693	9.613311859	47.5610152	S03
BS19.22	61	554397	5263237	9.722554903	47.52028403	S01
BS19.37	46	530146	5278135	9.401464208	47.65590763	S17
BS19.40	214	521888	5278327	9.291501063	47.65796727	S22
BS19.43	175	519168	5281086	9.255397998	47.68287801	S24
BS19.46	161	519800	5281772	9.263849919	47.6890313	S23
BS19.51	100	517837	5279341	9.237592387	47.66721526	S25
BS19.30	155	527723	5273858	9.368926053	47.61753338	S20
BS19.35	252	528225	5274651	9.375657422	47.62464679	S19
BS19.48	124	515925	5278377	9.212089222	47.65859143	S27
BS19.55	50	516418	5277492	9.218621711	47.65061617	S26
BS19.58	192	533788	5273347	9.449594782	47.61264771	S14
BS19.27	179	528802	5275993	9.38342507	47.63669612	S18
BS19.33	47	526349	5271179	9.350480745	47.59348605	S21
BS19.42	175	519168	5281086	9.255397998	47.68287801	S24
BS19.49	124	515925	5278377	9.212089222	47.65859143	S27
BS19.60	221	535945	5270280	9.478044132	47.58493628	S12
BS19.07	128	536034	5262598	9.478598039	47.51581193	S11
BS19.15	142	544924	5267105	9.597127916	47.55580982	S05
BS19.18	60	551588	5263196	9.685240999	47.52014415	S02
BS19.45	161	519800	5281772	9.263849919	47.6890313	S23
BS19.52	100	517837	5279341	9.237592387	47.66721526	S25
BS19.21	61	554397	5263237	9.722554903	47.52028403	S01
BS19.24	221	535907	5270353	9.47754475	47.58559521	S13
BS19.62	143	544952	5267120	9.597501604	47.55594284	S04
BS19.65	149	533028	5274778	9.439590184	47.62556235	S16
BS19.68	149	533033	5274799	9.439658314	47.62575104	S15
BS19.02	187	538336	5268402	9.509677551	47.56790206	S09
BS19.04	128	536067	5262640	9.479039763	47.516188	S10
BS19.09	151	539188	5264295	9.520638328	47.53089833	S08
BS19.10	151	539188	5264295	9.520638328	47.53089833	S08
BS19.12	150	542750	5266009	9.568126116	47.54609541	S06
BS19.26	179	528802	5275993	9.38342507	47.63669612	S18
BS19.28	155	527723	5273858	9.368926053	47.61753338	S20
BS19.31	47	526349	5271179	9.350480745	47.59348605	S21
BS19.34	252	528225	5274651	9.375657422	47.62464679	S19
BS19.36	46	530146	5278135	9.401464208	47.65590763	S17
BS77	76	505250	5293808	9.070105814	47.79760825	S30
BS78	76	505253	5293815	9.070145959	47.79767121	S30
BS79	76	505253	5293815	9.070145959	47.79767121	S30
BS80	76	505253	5293815	9.070145959	47.79767121	S30
BS81	76	505253	5293815	9.070145959	47.79767121	S30
BS82	145	510064	5289791	9.134296257	47.761408	S29
BS83	145	510064	5289791	9.134296257	47.761408	S29
BS84	145	510058	5289783	9.134216006	47.76133611	S29
BS85	145	510058	5289783	9.134216006	47.76133611	S29
BS86	111	514180	5287139	9.189134342	47.73746913	S28
BS87	111	514180	5287139	9.189134342	47.73746913	S28
BS89	111	514180	5287139	9.189134342	47.73746913	S28
BS90	111	514180	5287139	9.189134342	47.73746913	S28
